Car_Name,Brand,Model,Vehicle_Age,KM_Driven,No_Of_Owners,Fuel_Type,Transmission_Type,Mileage,Engine_CC,Max_Power,No_Of_Seats,Price,Location
Maruti Alto 800,Maruti,Alto 800,5,17367.0,1,Petrol,Manual,22.05,796.0,47.33,5,13.02805489573287,bangalore
Hyundai Creta,Hyundai,Creta,9,94000.0,1,Diesel,Manual,19.67,1582.0,126.2,5,13.993657580167481,bangalore
Tata Harrier,Tata,Harrier,5,33700.0,1,Diesel,Automatic,14.6,1949.5,167.67,5,14.59253968227493,bangalore
Maruti Swift,Maruti,Swift,12,54601.0,3,Petrol,Manual,22.38,1197.0,88.5,5,12.999067423500716,bangalore
Maruti Swift,Maruti,Swift,8,110000.0,1,Diesel,Manual,28.25,1248.0,74.0,5,13.444448325847754,bangalore
Maruti Celerio,Maruti,Celerio,9,64000.0,2,Petrol,Manual,23.1,998.0,67.04,5,13.122365377402328,bangalore
BMW 3 Series GT,BMW,3 Series GT,10,40525.0,1,Diesel,Automatic,21.76,1949.5,180.02499999999998,5,15.0378146135257,bangalore
Maruti Ciaz,Maruti,Ciaz,11,100000.0,1,Diesel,Manual,26.21,1248.0,88.5,5,13.384729180332174,bangalore
Honda Jazz,Honda,Jazz,10,44154.0,2,Petrol,Automatic,19.0,1199.0,88.7,5,13.19375523568666,bangalore
Renault Lodgy,Renault,Lodgy,10,70000.0,1,Diesel,Manual,19.98,1461.0,108.5,7,13.527829818844937,bangalore
Skoda Octavia,Skoda,Octavia,8,79000.0,1,Petrol,Automatic,15.1,1798.0,178.0,5,14.397726177816939,bangalore
Tata Tiago,Tata,Tiago,9,68039.0,2,Petrol,Manual,23.84,1199.0,84.0,5,13.056225711649638,bangalore
Maruti Ritz,Maruti,Ritz,12,60000.0,2,Petrol,Manual,18.5,1197.0,85.8,5,12.948012371209098,bangalore
Maruti Ritz,Maruti,Ritz,12,60000.0,2,Petrol,Manual,18.5,1197.0,85.8,5,12.948012371209098,bangalore
Hyundai i20,Hyundai,i20,5,10000.0,1,Petrol,Manual,20.0,998.0,118.36,5,13.732128949025222,bangalore
Honda City,Honda,City,13,49873.0,1,Petrol,Manual,16.8,1497.0,116.3,5,13.186278579318829,bangalore
Volkswagen Polo,Volkswagen,Polo,13,90000.0,3,Petrol,Automatic,17.2,1197.0,103.6,5,13.652992804936396,bangalore
Skoda Rapid,Skoda,Rapid,9,48960.0,2,Diesel,Manual,21.13,1498.0,108.6,5,13.529162262303307,bangalore
Hyundai Grand i10,Hyundai,Grand i10,12,70000.0,2,Diesel,Manual,24.0,1120.0,70.0,5,12.868763195921677,bangalore
Hyundai i20,Hyundai,i20,13,68000.0,2,Petrol,Manual,18.5,1197.0,82.85,5,13.102162710901053,bangalore
Mahindra KUV 100,Mahindra,KUV 100,10,23017.0,1,Diesel,Manual,25.32,1198.0,77.0,6,13.11029282045951,bangalore
Hyundai i20,Hyundai,i20,13,83000.0,2,Diesel,Manual,21.27,1396.0,88.76,5,13.171155446333852,bangalore
BMW X3,BMW,X3,10,92000.0,2,Diesel,Automatic,16.55,1949.5,180.02499999999998,5,14.876767406109316,bangalore
Maruti Wagon R,Maruti,Wagon R,8,62139.0,1,Petrol,Manual,20.51,998.0,67.04,5,13.217675375388819,bangalore
Hyundai i10,Hyundai,i10,13,74000.0,1,Lpg,Manual,19.2,1086.0,68.05,5,12.807655372286902,bangalore
Renault KWID,Renault,KWID,10,26500.0,2,Petrol,Automatic,24.04,999.0,67.0,5,12.948012371209098,bangalore
Volvo S60,Volvo,S60,9,81716.0,1,Diesel,Automatic,27.03,1949.5,180.02499999999998,5,14.45472992420301,bangalore
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,24000.0,2,Diesel,Automatic,17.0,1949.5,180.02499999999998,5,15.605602137036527,bangalore
Mahindra XUV300,Mahindra,XUV300,4,10000.0,1,Petrol,Automatic,17.0,1197.0,108.6,5,13.864301674514206,bangalore
MG Hector Plus,MG,Hector Plus,5,18000.0,1,Petrol,Automatic,16.56,1451.0,141.0,6,14.54547219357453,bangalore
Honda Brio,Honda,Brio,13,38197.0,1,Petrol,Manual,19.4,1198.0,86.8,5,12.884108726347916,bangalore
Maruti Baleno,Maruti,Baleno,9,23000.0,2,Petrol,Automatic,19.56,1197.0,81.8,5,13.493928313146206,bangalore
Maruti Alto K10,Maruti,Alto K10,13,50000.0,1,Petrol,Manual,20.92,998.0,67.1,5,12.388398368982115,bangalore
Renault Kiger,Renault,Kiger,4,10000.0,1,Petrol,Automatic,19.03,999.0,71.01,5,13.635188201437066,bangalore
Hyundai Grand i10,Hyundai,Grand i10,7,19000.0,1,Petrol,Manual,18.9,1197.0,81.86,5,13.451668563394815,bangalore
Kia Seltos,Kia,Seltos,6,14000.0,1,Petrol,Automatic,16.5,1353.0,138.08,5,14.360738188157574,bangalore
Hyundai EON,Hyundai,EON,12,29268.0,1,Petrol,Manual,21.1,814.0,55.2,5,12.706850963741102,bangalore
Volkswagen Vento,Volkswagen,Vento,7,20000.0,1,Petrol,Automatic,18.19,1197.0,103.2,5,13.805461232211272,bangalore
Toyota Yaris,Toyota,Yaris,8,30000.0,1,Petrol,Manual,17.1,1496.0,105.5,5,13.527829818844937,bangalore
Honda Jazz,Honda,Jazz,8,64374.0,1,Petrol,Automatic,19.0,1199.0,88.7,5,13.534474352733596,bangalore
MG Hector,MG,Hector,5,30000.0,1,Diesel,Manual,17.41,1949.5,167.68,5,14.375126917328105,bangalore
Hyundai Alcazar,Hyundai,Alcazar,4,7100.0,1,Petrol,Automatic,14.2,1949.5,156.9,6,14.549319720243108,bangalore
Hyundai i10,Hyundai,i10,16,43679.0,1,Petrol,Manual,19.81,1086.0,68.05,5,12.509877789891931,bangalore
Hyundai Creta,Hyundai,Creta,8,40000.0,1,Petrol,Automatic,14.8,1591.0,121.3,5,14.062371417145494,bangalore
Hyundai i20,Hyundai,i20,14,40562.0,1,Diesel,Manual,22.54,1396.0,88.76,5,12.985399815906522,bangalore
Hyundai Venue,Hyundai,Venue,7,20000.0,1,Petrol,Automatic,18.15,998.0,118.35,5,14.038654909278163,bangalore
Mahindra XUV500,Mahindra,XUV500,10,58600.0,1,Diesel,Automatic,16.0,1949.5,140.0,7,14.115615891155079,bangalore
Hyundai Venue,Hyundai,Venue,7,20000.0,1,Petrol,Automatic,18.15,998.0,118.35,5,14.038654909278163,bangalore
Volkswagen T-Roc,Volkswagen,T-Roc,6,42050.0,1,Petrol,Automatic,18.4,1498.0,147.94,5,14.615267923020578,bangalore
Maruti Celerio,Maruti,Celerio,11,65017.0,1,Petrol,Automatic,23.1,998.0,67.04,5,13.07107218827772,bangalore
BMW 3 Series,BMW,3 Series,18,80000.0,2,Diesel,Automatic,13.2,1949.5,170.0,5,13.304686600863562,bangalore
Jeep Compass,Jeep,Compass,5,30000.0,1,Petrol,Automatic,14.1,1368.0,160.77,5,14.711598990684092,bangalore
Kia Seltos,Kia,Seltos,6,20000.0,1,Petrol,Automatic,16.5,1353.0,138.08,5,14.301018989130402,bangalore
Skoda Superb,Skoda,Superb,12,36349.0,1,Diesel,Automatic,17.2,1949.5,138.1,5,14.316286451937186,bangalore
Hyundai i10,Hyundai,i10,17,80000.0,3,Petrol,Manual,20.36,1197.0,78.9,5,12.425212191503038,bangalore
Renault Duster,Renault,Duster,12,83394.0,2,Petrol,Manual,13.24,1598.0,102.57,5,13.353476685668044,bangalore
Audi Q5,Audi,Q5,10,30000.0,2,Diesel,Automatic,14.16,1949.5,174.3,5,14.770637698386924,bangalore
Hyundai i10,Hyundai,i10,17,80000.0,3,Petrol,Manual,20.36,1197.0,78.9,5,12.425212191503038,bangalore
Maruti Alto K10,Maruti,Alto K10,9,52204.0,1,Petrol,Manual,24.39,998.0,65.71,5,12.861001210669146,bangalore
Hyundai i20,Hyundai,i20,14,110000.0,3,Petrol,Manual,17.0,1197.0,180.02499999999998,5,12.611541086966115,bangalore
Ford Endeavour,Ford,Endeavour,9,89000.0,1,Diesel,Automatic,10.91,1949.5,180.02499999999998,7,14.905754933096265,bangalore
Maruti Alto 800,Maruti,Alto 800,12,29813.0,2,Petrol,Manual,22.05,796.0,47.33,5,12.52815976788113,bangalore
Ford Figo,Ford,Figo,8,30000.0,1,Petrol,Manual,18.16,1196.0,86.8,5,13.122365377402328,bangalore
Maruti Ignis,Maruti,Ignis,6,13345.0,1,Petrol,Automatic,20.89,1197.0,81.8,5,13.500801182986649,bangalore
Hyundai Alcazar,Hyundai,Alcazar,4,17100.0,1,Diesel,Automatic,18.1,1498.0,113.42,7,14.624216524592692,bangalore
Hyundai Grand i10,Hyundai,Grand i10,12,75000.0,1,Petrol,Manual,18.9,1197.0,82.0,5,12.896719202134523,bangalore
Hyundai i10,Hyundai,i10,15,75523.0,2,Petrol,Manual,20.36,1197.0,78.9,5,12.650761671914688,bangalore
Mahindra XUV500,Mahindra,XUV500,11,47000.0,1,Diesel,Manual,16.0,1949.5,140.0,7,14.058457520888082,bangalore
Tata Harrier,Tata,Harrier,4,36500.0,1,Diesel,Manual,16.35,1949.5,167.67,5,14.503645196700676,bangalore
Renault Triber,Renault,Triber,6,28253.0,1,Petrol,Manual,20.0,999.0,71.01,7,13.4856180275228,bangalore
Hyundai Creta,Hyundai,Creta,10,50000.0,1,Diesel,Manual,19.67,1582.0,126.2,5,14.04662307257814,bangalore
Hyundai i10,Hyundai,i10,16,90000.0,2,Petrol,Manual,20.36,1197.0,78.9,5,12.611541086966115,bangalore
BMW X5,BMW,X5,10,70000.0,2,Diesel,Automatic,15.97,1949.5,180.02499999999998,5,15.19704385317559,bangalore
Hyundai i20,Hyundai,i20,10,52571.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.348703414510117,bangalore
BMW 3 Series,BMW,3 Series,16,70000.0,2,Diesel,Automatic,16.07,1949.5,180.02499999999998,5,14.077875591662238,bangalore
Honda City,Honda,City,11,61993.0,1,Petrol,Manual,17.4,1497.0,117.3,5,13.418015107599418,bangalore
Hyundai Tucson,Hyundai,Tucson,9,57000.0,1,Diesel,Automatic,16.38,1949.5,180.02499999999998,5,14.417091092943783,bangalore
Toyota Fortuner,Toyota,Fortuner,5,80000.0,2,Diesel,Manual,14.24,1949.5,174.5,7,15.068273812173887,bangalore
Hyundai i20,Hyundai,i20,13,36359.0,1,Petrol,Manual,18.5,1197.0,82.85,5,12.994532278619134,bangalore
Tata Harrier,Tata,Harrier,7,70000.0,2,Diesel,Manual,17.0,1949.5,138.1,5,14.19394767861579,bangalore
Hyundai Verna,Hyundai,Verna,9,30301.0,1,Petrol,Automatic,17.0,1591.0,121.3,5,13.847978716155518,bangalore
Hyundai i10,Hyundai,i10,16,66000.0,1,Petrol,Manual,20.36,1197.0,78.9,5,12.524530013005734,bangalore
Hyundai i20,Hyundai,i20,9,56010.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.423949834313948,bangalore
Mercedes-Benz GLC,Mercedes-Benz,GLC,9,47000.0,1,Diesel,Automatic,17.9,1949.5,170.0,5,15.271797524004405,bangalore
Nissan Terrano,Nissan,Terrano,12,60000.0,2,Diesel,Manual,19.01,1461.0,108.5,5,13.384729180332174,bangalore
Maruti Swift,Maruti,Swift,12,83829.0,1,Diesel,Manual,25.2,1248.0,74.0,5,13.003582093664077,bangalore
Renault KWID,Renault,KWID,6,10000.0,1,Petrol,Automatic,22.0,999.0,67.0,5,13.142166004700508,bangalore
Renault Duster,Renault,Duster,10,35000.0,2,Diesel,Automatic,19.6,1461.0,108.45,5,13.73755009757506,bangalore
Honda City,Honda,City,7,51116.0,2,Petrol,Automatic,18.0,1497.0,117.6,5,13.839228061143613,bangalore
Skoda Rapid,Skoda,Rapid,10,80000.0,3,Diesel,Manual,21.14,1498.0,103.52,5,13.122365377402328,bangalore
Volkswagen Polo,Volkswagen,Polo,9,40000.0,2,Petrol,Automatic,17.21,1197.0,103.5,5,13.81049801614073,bangalore
Honda CR-V,Honda,CR-V,14,85565.0,2,Petrol,Automatic,11.1,1949.5,158.8,5,13.74830287778897,bangalore
Ford Ecosport,Ford,Ecosport,8,36916.0,1,Petrol,Manual,17.0,1497.0,121.36,5,13.633989880380932,bangalore
Volkswagen Polo,Volkswagen,Polo,11,90000.0,1,Diesel,Manual,20.14,1498.0,88.8,5,13.235693848424024,bangalore
Maruti Swift,Maruti,Swift,14,112795.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.025854679664231,bangalore
Toyota Innova,Toyota,Innova,12,120000.0,2,Petrol,Manual,11.4,1949.5,130.1,7,13.910821646859095,bangalore
Honda Brio,Honda,Brio,10,36685.0,2,Petrol,Manual,19.4,1198.0,86.8,5,13.043322334563697,bangalore
Hyundai Santa Fe,Hyundai,Santa Fe,14,120000.0,2,Diesel,Automatic,11.72,1949.5,180.02499999999998,7,13.710151153416941,bangalore
BMW 6 Series,BMW,6 Series,4,4000.0,1,Petrol,Automatic,13.32,1949.5,180.02499999999998,4,15.882373444019521,bangalore
Maruti Baleno,Maruti,Baleno,7,32184.0,2,Petrol,Automatic,21.4,1197.0,83.1,5,13.64472342322291,bangalore
Maruti Baleno RS,Maruti,Baleno RS,8,32279.0,1,Petrol,Manual,21.1,998.0,100.5,5,13.591117476312084,bangalore
Hyundai i20,Hyundai,i20,11,59698.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.263864675787632,bangalore
Renault Captur,Renault,Captur,8,46071.0,1,Diesel,Manual,20.37,1461.0,108.45,5,13.76316513133229,bangalore
Maruti Vitara Brezza,Maruti,Vitara Brezza,9,90000.0,1,Diesel,Manual,24.3,1248.0,88.5,5,13.586098651497313,bangalore
Hyundai Venue,Hyundai,Venue,7,9554.0,1,Petrol,Manual,18.27,998.0,118.35,5,13.897091466615258,bangalore
Jeep Compass,Jeep,Compass,4,14000.0,1,Petrol,Automatic,14.1,1368.0,160.77,5,14.767168819776032,bangalore
Renault Duster,Renault,Duster,13,74499.0,2,Diesel,Manual,20.45,1461.0,83.8,5,13.153863982446317,bangalore
Ford Ecosport,Ford,Ecosport,9,56211.0,2,Petrol,Automatic,14.8,1497.0,121.36,5,13.563196916350243,bangalore
Honda Jazz,Honda,Jazz,7,9001.0,1,Petrol,Manual,18.2,1199.0,88.7,5,13.531821834802397,bangalore
Mahindra XUV500,Mahindra,XUV500,9,65457.0,2,Diesel,Automatic,16.0,1949.5,140.0,7,14.019268211138646,bangalore
Honda Jazz,Honda,Jazz,9,23682.0,1,Petrol,Manual,18.7,1199.0,88.7,5,13.493928313146206,bangalore
Hyundai Verna,Hyundai,Verna,6,50000.0,1,Diesel,Manual,22.0,1582.0,126.2,5,13.955273369904273,bangalore
Maruti Swift,Maruti,Swift,11,134557.0,2,Diesel,Manual,25.2,1248.0,74.0,5,13.351888125506433,bangalore
