Car_Name,Brand,Model,Vehicle_Age,KM_Driven,No_Of_Owners,Fuel_Type,Transmission_Type,Mileage,Engine_CC,Max_Power,No_Of_Seats,Price,Location
Hyundai i20,Hyundai,i20,9,55563.0,2,Petrol,Manual,18.6,1197.0,81.83,5,13.308014385419147,hyderabad
Hyundai Grand i10,Hyundai,Grand i10,11,54000.0,1,Petrol,Automatic,18.9,1197.0,82.0,5,13.26212705890841,hyderabad
Hyundai i20,Hyundai,i20,7,70000.0,2,Petrol,Manual,18.6,1197.0,81.86,5,13.42246945133505,hyderabad
Volvo S60,Volvo,S60,9,54000.0,1,Diesel,Automatic,27.03,1949.5,180.02499999999998,5,14.508157613482537,hyderabad
Ford Ecosport,Ford,Ecosport,10,41000.0,1,Petrol,Automatic,14.7,1496.0,120.69,5,13.527829818844937,hyderabad
Hyundai i20,Hyundai,i20,15,70000.0,2,Petrol,Manual,18.5,1197.0,180.02499999999998,5,12.765691290604371,hyderabad
Maruti Baleno,Maruti,Baleno,6,62500.0,1,Petrol,Manual,21.01,1197.0,81.8,5,13.52649559761195,hyderabad
Hyundai Santro,Hyundai,Santro,5,20000.0,1,Petrol,Manual,20.3,1086.0,68.05,5,13.217675375388819,hyderabad
Hyundai i20,Hyundai,i20,10,60350.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.303018546545275,hyderabad
Hyundai i20,Hyundai,i20,11,52266.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.25339339419516,hyderabad
Maruti Ciaz,Maruti,Ciaz,8,58431.0,1,Diesel,Manual,28.09,1248.0,88.5,5,13.704578997256993,hyderabad
Honda City,Honda,City,9,41372.0,1,Petrol,Automatic,18.0,1497.0,117.3,5,13.826451487121803,hyderabad
Maruti Alto 800,Maruti,Alto 800,12,46863.0,2,Petrol,Manual,22.05,796.0,47.33,5,12.495007682693725,hyderabad
Nissan Sunny,Nissan,Sunny,12,66500.0,1,Petrol,Automatic,17.97,1498.0,99.6,5,13.25339339419516,hyderabad
Hyundai i10,Hyundai,i10,12,49374.0,2,Petrol,Manual,19.81,1086.0,68.05,5,12.818554633046093,hyderabad
Skoda Rapid,Skoda,Rapid,14,120000.0,2,Diesel,Manual,20.5,1598.0,103.5,5,12.793862088206213,hyderabad
Tata Tiago,Tata,Tiago,5,62832.0,1,Petrol,Manual,19.01,1199.0,84.82,5,13.312985389904174,hyderabad
Hyundai i20,Hyundai,i20,10,61155.0,2,Petrol,Manual,18.6,1197.0,81.83,5,13.279368835614243,hyderabad
BMW 1 Series,BMW,1 Series,12,75000.0,1,Diesel,Automatic,20.58,1949.5,143.0,5,14.40274151293267,hyderabad
Maruti Swift,Maruti,Swift,5,12045.0,2,Petrol,Manual,22.38,1197.0,88.5,5,13.49116588426581,hyderabad
Maruti Ciaz,Maruti,Ciaz,6,60700.0,1,Petrol,Manual,20.65,1462.0,103.25,5,13.704578997256993,hyderabad
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,13,85000.0,1,Diesel,Automatic,14.84,1949.5,167.62,5,14.115615891155079,hyderabad
Honda City,Honda,City,6,44276.0,1,Petrol,Automatic,16.4,1497.0,78.0,5,14.093143052138025,hyderabad
Audi A4,Audi,A4,11,99000.0,1,Diesel,Automatic,17.11,1949.5,174.33,5,14.508157613482537,hyderabad
Audi A6,Audi,A6,11,78000.0,1,Diesel,Automatic,17.68,1949.5,174.33,5,14.731401609977073,hyderabad
Jaguar XF,Jaguar,XF,13,70000.0,2,Diesel,Automatic,16.36,1949.5,180.02499999999998,5,14.346139397261565,hyderabad
Jaguar XF,Jaguar,XF,13,70000.0,1,Diesel,Automatic,16.36,1949.5,180.02499999999998,5,14.403297778421795,hyderabad
Jaguar XF,Jaguar,XF,13,70000.0,1,Diesel,Automatic,16.36,1949.5,180.02499999999998,5,14.375126917328105,hyderabad
Maruti Alto 800,Maruti,Alto 800,5,22264.0,1,Petrol,Manual,22.05,796.0,47.33,5,12.969214528909768,hyderabad
Maruti Ignis,Maruti,Ignis,8,103763.0,1,Petrol,Manual,20.89,1197.0,81.8,5,12.837347081942964,hyderabad
Volvo XC60,Volvo,XC60,14,109000.0,1,Diesel,Automatic,14.7,1949.5,163.0,5,13.830400155679214,hyderabad
Hyundai i10,Hyundai,i10,14,49043.0,2,Petrol,Manual,20.36,1197.0,78.9,5,12.650761671914688,hyderabad
Maruti Celerio,Maruti,Celerio,9,70666.0,2,Petrol,Automatic,23.1,998.0,67.04,5,13.106236027992704,hyderabad
Land Rover Range Rover Sport,Land,Rover Range Rover Sport,15,128000.0,1,Diesel,Automatic,14.7,1949.5,180.02499999999998,5,15.123843647884687,hyderabad
Maruti Swift Dzire,Maruti,Swift Dzire,8,65815.0,1,Diesel,Automatic,28.25,1248.0,74.02,5,13.592368256649284,hyderabad
Maruti Alto,Maruti,Alto,16,79000.0,1,Petrol,Manual,19.7,796.0,46.3,5,12.013706813470414,hyderabad
Maruti Baleno,Maruti,Baleno,6,48580.0,1,Petrol,Automatic,21.4,1197.0,83.1,5,13.630386277206295,hyderabad
Hyundai i20,Hyundai,i20,8,44646.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.445896549926763,hyderabad
Maruti Wagon R,Maruti,Wagon R,18,71963.0,1,Petrol,Manual,21.79,998.0,67.05,5,12.07254696717504,hyderabad
Hyundai Grand i10,Hyundai,Grand i10,9,26678.0,2,Petrol,Manual,18.9,1197.0,81.86,5,13.108266481420335,hyderabad
Honda City,Honda,City,11,152000.0,1,Diesel,Manual,26.0,1498.0,98.6,5,13.303018546545275,hyderabad
Ford Endeavour,Ford,Endeavour,10,101000.0,1,Diesel,Automatic,12.62,1949.5,158.0,7,14.6888942063636,hyderabad
Chevrolet Beat,Chevrolet,Beat,14,41000.0,1,Diesel,Manual,25.44,936.0,57.6,5,12.676079399771027,hyderabad
Toyota Fortuner,Toyota,Fortuner,8,109000.0,1,Diesel,Manual,14.24,1949.5,174.5,7,14.962913328262083,hyderabad
Skoda Rapid,Skoda,Rapid,9,83000.0,1,Diesel,Manual,21.13,1498.0,108.6,5,13.623139877437296,hyderabad
Maruti Ritz,Maruti,Ritz,14,80000.0,1,Diesel,Manual,23.2,1248.0,73.94,5,12.834683971615659,hyderabad
Maruti Swift,Maruti,Swift,15,94514.0,3,Diesel,Manual,22.9,1248.0,74.0,5,12.685410698175234,hyderabad
Maruti Swift Dzire,Maruti,Swift Dzire,11,67037.0,1,Petrol,Manual,22.41,1197.0,88.5,5,13.096021455450709,hyderabad
Mahindra Scorpio,Mahindra,Scorpio,22,120000.0,1,Diesel,Manual,10.5,1949.5,120.0,8,12.577639650232573,hyderabad
Toyota Glanza,Toyota,Glanza,7,35540.0,2,Petrol,Manual,22.35,1197.0,88.5,5,13.471612215950506,hyderabad
Renault Captur,Renault,Captur,7,47627.0,1,Diesel,Manual,20.37,1461.0,108.45,5,13.798365416422785,hyderabad
Toyota Corolla Altis,Toyota,Corolla Altis,17,98000.0,1,Petrol,Automatic,14.53,1794.0,138.1,5,13.017005083966255,hyderabad
Hyundai i20,Hyundai,i20,8,55943.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.418015107599418,hyderabad
Hyundai Creta,Hyundai,Creta,8,71000.0,1,Diesel,Automatic,17.01,1582.0,126.2,5,14.115615891155079,hyderabad
Maruti Celerio,Maruti,Celerio,8,117924.0,1,Petrol,Automatic,23.1,998.0,67.04,5,13.032440858057756,hyderabad
Maruti Wagon R,Maruti,Wagon R,13,92195.0,1,Petrol,Manual,18.9,998.0,67.1,5,12.647551406590285,hyderabad
Hyundai Sonata,Hyundai,Sonata,23,40000.0,3,Petrol,Automatic,11.0,1949.5,165.0,5,11.918397239722838,hyderabad
Maruti Swift,Maruti,Swift,8,49009.0,1,Petrol,Automatic,22.56,1197.0,88.5,5,13.342303402904738,hyderabad
Kia Sonet,Kia,Sonet,6,31650.0,1,Petrol,Automatic,18.3,998.0,118.36,5,13.901689171636098,hyderabad
Kia Carens,Kia,Carens,4,20000.0,1,Petrol,Manual,16.2,1353.0,138.05,7,14.285514812209815,hyderabad
Hyundai i10,Hyundai,i10,17,70000.0,1,Petrol,Manual,20.36,1197.0,78.9,5,12.206077645517674,hyderabad
Hyundai Verna,Hyundai,Verna,8,39000.0,1,Diesel,Automatic,18.0,1582.0,126.2,5,13.73755009757506,hyderabad
Mahindra XUV300,Mahindra,XUV300,4,10000.0,1,Petrol,Automatic,16.5,1197.0,108.62,5,13.955273369904273,hyderabad
Hyundai Creta,Hyundai,Creta,8,93615.0,1,Diesel,Automatic,17.01,1582.0,126.2,5,13.955273369904273,hyderabad
Toyota Innova Crysta,Toyota,Innova Crysta,4,6400.0,1,Petrol,Manual,10.25,1949.5,163.6,7,14.751604309291395,hyderabad
Maruti Ciaz,Maruti,Ciaz,4,16727.0,2,Petrol,Manual,20.65,1462.0,103.25,5,13.704578997256993,hyderabad
Hyundai Creta,Hyundai,Creta,7,63334.0,3,Petrol,Manual,15.8,1591.0,121.3,5,13.824471290415532,hyderabad
Nissan Magnite,Nissan,Magnite,5,14000.0,1,Petrol,Manual,20.0,999.0,98.63,5,13.864301674514206,hyderabad
Maruti Ignis,Maruti,Ignis,8,96540.0,1,Petrol,Manual,20.89,1197.0,81.8,5,12.996802422000108,hyderabad
Toyota Yaris,Toyota,Yaris,8,92585.0,1,Petrol,Automatic,17.8,1496.0,105.94,5,13.539758373899955,hyderabad
Ford Ecosport,Ford,Ecosport,12,53861.0,1,Petrol,Manual,15.8,1499.0,110.0,5,12.959846800844963,hyderabad
Maruti Wagon R,Maruti,Wagon R,14,65761.0,2,Petrol,Manual,18.9,998.0,67.1,5,12.631343648903034,hyderabad
Volkswagen Vento,Volkswagen,Vento,11,67000.0,2,Diesel,Manual,22.27,1498.0,108.6,5,13.304686600863562,hyderabad
Jeep Compass,Jeep,Compass,8,122100.0,2,Diesel,Manual,17.1,1949.5,170.0,5,14.141211419624977,hyderabad
Maruti Swift Dzire,Maruti,Swift Dzire,9,53873.0,1,Diesel,Automatic,28.25,1248.0,74.02,5,13.508986756405742,hyderabad
Maruti Vitara Brezza,Maruti,Vitara Brezza,7,60000.0,1,Diesel,Manual,24.3,1248.0,88.5,5,13.641158361294979,hyderabad
Maruti Swift,Maruti,Swift,13,89197.0,2,Diesel,Manual,22.9,1248.0,74.0,5,12.962196972666593,hyderabad
Datsun RediGO,Datsun,RediGO,6,30000.0,1,Petrol,Manual,22.7,799.0,53.64,5,12.628070334272698,hyderabad
Hyundai i20,Hyundai,i20,8,70000.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.351888125506433,hyderabad
Maruti Baleno,Maruti,Baleno,5,28700.0,1,Petrol,Automatic,19.56,1197.0,81.8,5,13.675099554994853,hyderabad
Volkswagen Virtus,Volkswagen,Virtus,4,20000.0,2,Petrol,Automatic,18.12,999.0,113.98,5,14.430696737594902,hyderabad
Hyundai i10,Hyundai,i10,14,91629.0,1,Petrol,Manual,20.36,1197.0,78.9,5,12.611541086966115,hyderabad
Ford Freestyle,Ford,Freestyle,5,30000.0,1,Diesel,Manual,23.8,1499.0,98.96,5,13.652992804936396,hyderabad
Maruti Baleno,Maruti,Baleno,4,7058.0,1,Petrol,Manual,21.01,1197.0,81.8,5,13.676248490630767,hyderabad
Maruti Swift Dzire,Maruti,Swift Dzire,9,86500.0,1,Diesel,Automatic,28.25,1248.0,74.02,5,13.560619598657233,hyderabad
Honda Amaze,Honda,Amaze,11,76438.0,2,Petrol,Manual,18.0,1198.0,86.7,5,12.938442943086665,hyderabad
Hyundai Creta,Hyundai,Creta,9,24489.0,2,Petrol,Manual,13.0,1591.0,121.3,5,13.840204146163925,hyderabad
Maruti Swift,Maruti,Swift,4,20000.0,1,Petrol,Automatic,22.56,1197.0,88.5,5,13.579789490265188,hyderabad
Hyundai Verna,Hyundai,Verna,9,110600.0,1,Diesel,Manual,23.9,1582.0,126.2,5,13.658857917508856,hyderabad
Maruti Baleno,Maruti,Baleno,7,63840.0,2,Petrol,Manual,21.4,1197.0,83.1,5,13.38318953651709,hyderabad
Hyundai i10,Hyundai,i10,17,74000.0,1,Petrol,Manual,20.36,1197.0,78.9,5,12.345834587905333,hyderabad
Tata Tiago,Tata,Tiago,5,21314.0,1,Petrol,Manual,19.01,1199.0,84.82,5,13.303018546545275,hyderabad
Hyundai Verna,Hyundai,Verna,9,40007.0,1,Diesel,Automatic,18.0,1582.0,126.2,5,13.710151153416941,hyderabad
Maruti Swift Dzire,Maruti,Swift Dzire,11,89997.0,2,Diesel,Manual,26.59,1248.0,74.0,5,13.340696979437066,hyderabad
Honda Brio,Honda,Brio,12,64736.0,1,Petrol,Manual,19.4,1198.0,86.8,5,12.799402253235032,hyderabad
Audi Q3,Audi,Q3,13,105000.0,1,Diesel,Automatic,15.73,1949.5,174.33,5,14.07402202531625,hyderabad
Maruti SX4 S Cross,Maruti,SX4 S Cross,6,40687.0,1,Petrol,Manual,18.55,1462.0,103.25,5,13.778847610936543,hyderabad
Ford Fiesta,Ford,Fiesta,14,33000.0,2,Petrol,Automatic,16.97,1499.0,107.5,5,12.886643575525625,hyderabad
Maruti Celerio,Maruti,Celerio,10,57000.0,1,Petrol,Automatic,23.1,998.0,67.04,5,13.038981768465277,hyderabad
Toyota Innova,Toyota,Innova,20,120000.0,2,Diesel,Manual,12.8,1949.5,102.0,8,12.899222326086994,hyderabad
Kia Seltos,Kia,Seltos,7,88000.0,1,Diesel,Manual,20.8,1493.0,113.43,5,14.096923772119156,hyderabad
Hyundai i10,Hyundai,i10,17,80000.0,3,Petrol,Manual,20.36,1197.0,78.9,5,12.278397958261774,hyderabad
Hyundai Venue,Hyundai,Venue,6,49500.0,1,Petrol,Manual,18.0,998.0,118.35,5,13.864301674514206,hyderabad
Renault KWID,Renault,KWID,6,15985.0,1,Petrol,Manual,21.46,999.0,67.06,5,13.049794835104816,hyderabad
Honda City,Honda,City,11,85871.0,2,Petrol,Manual,17.4,1497.0,117.3,5,13.260386417460465,hyderabad
Hyundai i10,Hyundai,i10,14,73665.0,1,Petrol,Manual,20.36,1197.0,78.9,5,12.59473402514672,hyderabad
Land Rover Range Rover,Land,Rover Range Rover,6,31614.0,1,Petrol,Automatic,13.33,1949.5,180.02499999999998,5,17.073607134447293,hyderabad
Tata Tigor,Tata,Tigor,5,70380.0,1,Petrol,Manual,19.28,1199.0,84.82,5,13.468787359304866,hyderabad
Hyundai i20,Hyundai,i20,10,73202.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.312985389904174,hyderabad
Honda Amaze,Honda,Amaze,10,80000.0,1,Petrol,Automatic,18.3,1199.0,88.76,5,13.244582780038517,hyderabad
Maruti Swift,Maruti,Swift,9,58006.0,1,Diesel,Manual,25.2,1248.0,74.0,5,13.317931805683793,hyderabad
Maruti Swift,Maruti,Swift,7,64000.0,1,Petrol,Automatic,21.21,1197.0,81.8,5,13.493928313146206,hyderabad
Honda Brio,Honda,Brio,12,50670.0,2,Petrol,Manual,19.4,1198.0,86.8,5,12.818554633046093,hyderabad
Hyundai Santro,Hyundai,Santro,6,41058.0,2,Petrol,Automatic,20.3,1086.0,68.05,5,13.138238695062618,hyderabad
Renault Duster,Renault,Duster,13,120000.0,1,Diesel,Manual,20.45,1461.0,83.8,5,12.793862088206213,hyderabad
Maruti Wagon R Stingray,Maruti,Wagon R Stingray,12,56367.0,2,Petrol,Manual,20.51,998.0,67.04,5,12.896719202134523,hyderabad
Hyundai Venue,Hyundai,Venue,7,41000.0,1,Petrol,Manual,18.27,998.0,118.35,5,13.732128949025222,hyderabad
Hyundai i20,Hyundai,i20,7,40000.0,1,Petrol,Manual,18.6,1197.0,81.86,5,13.51440681653079,hyderabad
Hyundai Grand i10,Hyundai,Grand i10,10,16000.0,1,Petrol,Automatic,18.9,1197.0,82.0,5,13.345508528717259,hyderabad
Maruti Celerio,Maruti,Celerio,10,69900.0,1,Petrol,Automatic,23.1,998.0,67.04,5,13.017005083966255,hyderabad
Honda City,Honda,City,10,120000.0,1,Petrol,Manual,17.8,1497.0,117.3,5,13.384729180332174,hyderabad
Tata Tiago,Tata,Tiago,10,95000.0,1,Petrol,Manual,23.84,1199.0,84.0,5,13.017005083966255,hyderabad
Audi A3,Audi,A3,8,35000.0,1,Diesel,Automatic,20.38,1949.5,143.0,5,14.70955608988898,hyderabad
Honda City,Honda,City,12,66000.0,1,Petrol,Automatic,18.0,1497.0,117.3,5,13.42246945133505,hyderabad
Maruti Ciaz,Maruti,Ciaz,10,67905.0,1,Diesel,Manual,28.09,1248.0,88.5,5,13.387801374649944,hyderabad
Hyundai Santro,Hyundai,Santro,7,19348.0,1,Petrol,Manual,20.3,1086.0,68.0,5,13.114333221834064,hyderabad
Honda Amaze,Honda,Amaze,9,35000.0,1,Petrol,Manual,17.8,1198.0,86.7,5,13.384729180332174,hyderabad
Hyundai Verna,Hyundai,Verna,9,30811.0,1,Petrol,Manual,17.01,1591.0,121.3,5,13.578522867254332,hyderabad
Maruti Celerio X,Maruti,Celerio X,7,73227.0,2,Petrol,Manual,21.63,998.0,67.05,5,13.034626646500051,hyderabad
Tata Manza,Tata,Manza,16,80000.0,2,Diesel,Manual,19.0,1248.0,90.0,5,12.206077645517674,hyderabad
Honda Brio,Honda,Brio,14,90184.0,1,Petrol,Manual,19.4,1198.0,86.8,5,12.647551406590285,hyderabad
Maruti SX4 S Cross,Maruti,SX4 S Cross,5,30000.0,1,Petrol,Manual,18.55,1462.0,103.25,5,13.815511557963774,hyderabad
Hyundai Verna,Hyundai,Verna,10,66039.0,1,Petrol,Manual,17.01,1591.0,121.3,5,13.326121846238388,hyderabad
Hyundai Xcent,Hyundai,Xcent,9,120000.0,2,Diesel,Manual,25.4,1186.0,73.97,5,12.873904582205107,hyderabad
Honda City,Honda,City,13,89205.0,2,Petrol,Manual,16.8,1497.0,116.3,5,13.155800087724673,hyderabad
Hyundai Venue,Hyundai,Venue,6,50000.0,1,Petrol,Manual,18.0,998.0,118.35,5,13.81451105863119,hyderabad
Maruti Baleno,Maruti,Baleno,8,80000.0,1,Petrol,Automatic,21.4,1197.0,83.1,5,13.51440681653079,hyderabad
MG Hector,MG,Hector,6,29000.0,1,Diesel,Manual,17.41,1949.5,167.68,5,14.316286451937186,hyderabad
BMW X1,BMW,X1,14,90000.0,1,Diesel,Automatic,17.05,1949.5,180.02499999999998,5,14.093143052138025,hyderabad
Tata Manza,Tata,Manza,15,120000.0,1,Diesel,Manual,21.12,1248.0,88.8,5,12.301387370778713,hyderabad
Fiat Avventura,Fiat,Avventura,11,100000.0,2,Diesel,Manual,20.5,1248.0,91.72,5,12.948012371209098,hyderabad
Maruti Baleno,Maruti,Baleno,9,56962.0,1,Petrol,Automatic,21.4,1197.0,83.1,5,13.217675375388819,hyderabad
Skoda Rapid,Skoda,Rapid,11,90000.0,1,Diesel,Automatic,21.66,1498.0,103.52,5,13.217675375388819,hyderabad
Volkswagen Polo,Volkswagen,Polo,8,101739.0,1,Petrol,Manual,17.74,999.0,75.1,5,13.126355398673866,hyderabad
Tata Tiago,Tata,Tiago,7,69049.0,1,Petrol,Manual,23.84,1199.0,83.83,5,13.221305136851795,hyderabad
Maruti Vitara Brezza,Maruti,Vitara Brezza,8,110000.0,1,Diesel,Manual,24.3,1248.0,88.5,5,13.629182184591333,hyderabad
Honda Amaze,Honda,Amaze,9,56242.0,1,Petrol,Manual,19.5,1199.0,88.76,5,13.269059483669357,hyderabad
Mahindra XUV500,Mahindra,XUV500,8,124281.0,1,Diesel,Manual,16.0,1949.5,140.0,7,14.010255457801716,hyderabad
Hyundai Venue,Hyundai,Venue,7,38000.0,1,Petrol,Manual,18.27,998.0,118.35,5,13.76421831620775,hyderabad
BMW 3 Series,BMW,3 Series,8,45000.0,1,Diesel,Automatic,22.69,1949.5,180.02499999999998,5,14.769097459938507,hyderabad
Maruti Swift Dzire,Maruti,Swift Dzire,13,122117.0,2,Petrol,Manual,22.41,1197.0,88.5,5,12.95039048795861,hyderabad
Ford Ecosport,Ford,Ecosport,7,108632.0,1,Diesel,Manual,23.0,1498.0,98.96,5,13.676248490630767,hyderabad
BMW 5 Series,BMW,5 Series,9,10700.0,1,Diesel,Automatic,18.12,1949.5,180.02499999999998,5,15.319588176962746,hyderabad
Ford Ecosport,Ford,Ecosport,9,116988.0,1,Diesel,Manual,22.77,1498.0,98.59,5,13.425428028998196,hyderabad
Honda City,Honda,City,12,60000.0,1,Petrol,Automatic,18.0,1497.0,117.3,5,13.493928313146206,hyderabad
Honda Amaze,Honda,Amaze,8,120000.0,1,Diesel,Manual,25.8,1498.0,98.6,5,13.384729180332174,hyderabad
Hyundai Creta,Hyundai,Creta,10,92000.0,1,Diesel,Manual,19.67,1582.0,126.2,5,13.795308871054397,hyderabad
Mahindra Marazzo,Mahindra,Marazzo,7,80000.0,1,Diesel,Manual,17.3,1497.0,121.0,7,13.910821646859095,hyderabad
Toyota Corolla Altis,Toyota,Corolla Altis,17,90000.0,2,Cng,Manual,14.53,1798.0,138.0,5,12.577639650232573,hyderabad
Skoda Fabia,Skoda,Fabia,12,110000.0,2,Diesel,Manual,20.86,1199.0,75.0,5,12.765691290604371,hyderabad
Nissan Micra,Nissan,Micra,15,70000.0,1,Petrol,Manual,18.06,1198.0,75.0,5,12.577639650232573,hyderabad
Tata Tiago,Tata,Tiago,8,72761.0,1,Diesel,Manual,27.28,1047.0,69.0,5,13.28787951079572,hyderabad
Hyundai i10,Hyundai,i10,13,72473.0,1,Petrol,Manual,20.36,1197.0,78.9,5,12.608202196848836,hyderabad
Maruti Brezza,Maruti,Brezza,4,18030.0,1,Petrol,Manual,19.89,1462.0,101.65,5,14.040253629363907,hyderabad
Honda Amaze,Honda,Amaze,8,63000.0,1,Diesel,Manual,27.4,1498.0,98.63,5,13.681980308196241,hyderabad
Honda Jazz,Honda,Jazz,10,40404.0,1,Petrol,Automatic,19.0,1199.0,88.7,5,13.217675375388819,hyderabad
Honda City,Honda,City,8,96407.0,1,Petrol,Automatic,18.0,1497.0,117.6,5,13.785051350479566,hyderabad
Hyundai Grand i10,Hyundai,Grand i10,9,20000.0,1,Petrol,Manual,18.9,1197.0,81.86,5,13.28787951079572,hyderabad
Honda City,Honda,City,9,53456.0,1,Petrol,Manual,17.8,1497.0,117.3,5,13.555444949561487,hyderabad
Maruti Alto 800,Maruti,Alto 800,10,91603.0,2,Petrol,Manual,22.05,796.0,47.33,5,12.456831363877356,hyderabad
Toyota Glanza,Toyota,Glanza,5,28246.0,1,Petrol,Manual,22.35,1197.0,88.5,5,13.550243384129509,hyderabad
Renault Scala,Renault,Scala,13,152115.125,3,Diesel,Manual,21.64,1461.0,84.8,5,12.468440756144114,hyderabad
Tata Tiago,Tata,Tiago,5,30224.0,1,Petrol,Manual,19.01,1199.0,84.82,5,13.272507757002963,hyderabad
Honda City,Honda,City,9,70000.0,1,Diesel,Manual,25.6,1498.0,97.9,5,13.840204146163925,hyderabad
Hyundai i20,Hyundai,i20,13,120000.0,3,Diesel,Manual,21.27,1396.0,88.76,5,12.899222326086994,hyderabad
Maruti Vitara Brezza,Maruti,Vitara Brezza,9,120000.0,2,Diesel,Manual,24.3,1248.0,88.5,5,13.527829818844937,hyderabad
Skoda Rapid,Skoda,Rapid,6,80000.0,2,Diesel,Manual,21.13,1498.0,108.6,5,13.815511557963774,hyderabad
Skoda Octavia,Skoda,Octavia,7,49000.0,1,Petrol,Automatic,15.1,1798.0,178.0,5,14.580978865220017,hyderabad
Hyundai i20,Hyundai,i20,7,70000.0,1,Petrol,Manual,18.6,1197.0,81.86,5,13.399996629152975,hyderabad
Ford Ecosport,Ford,Ecosport,12,85838.0,1,Diesel,Manual,22.7,1498.0,89.84,5,13.403022345492023,hyderabad
Nissan Micra Active,Nissan,Micra Active,10,68000.0,1,Petrol,Manual,19.69,1198.0,67.04,5,12.886643575525625,hyderabad
Maruti Celerio,Maruti,Celerio,8,38607.0,2,Petrol,Automatic,23.1,998.0,67.04,5,13.149978544437301,hyderabad
Hyundai i20,Hyundai,i20,7,48934.0,2,Petrol,Automatic,17.4,1197.0,81.86,5,13.556741124342862,hyderabad
Hyundai i20,Hyundai,i20,8,73000.0,1,Petrol,Manual,18.6,1197.0,81.86,5,13.429849547739444,hyderabad
Maruti Alto 800,Maruti,Alto 800,12,31933.0,2,Petrol,Manual,22.05,796.0,47.33,5,12.445093483000798,hyderabad
Maruti Wagon R,Maruti,Wagon R,13,54959.0,1,Petrol,Manual,18.9,998.0,67.1,5,12.647551406590285,hyderabad
Jaguar XF,Jaguar,XF,12,49000.0,1,Diesel,Automatic,14.74,1949.5,180.02499999999998,5,14.580978865220017,hyderabad
Honda City,Honda,City,9,59261.0,1,Petrol,Automatic,18.0,1497.0,117.3,5,13.830400155679214,hyderabad
Audi A3,Audi,A3,7,42000.0,1,Diesel,Automatic,20.38,1949.5,143.0,5,14.862829903121964,hyderabad
Maruti Swift,Maruti,Swift,12,73889.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.04115549117383,hyderabad
Renault KWID,Renault,KWID,7,44363.0,2,Petrol,Manual,22.3,799.0,53.26,5,12.826651821423713,hyderabad
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,15,54000.0,1,Diesel,Automatic,14.21,1949.5,180.02499999999998,5,14.187074804051692,hyderabad
Hyundai Verna,Hyundai,Verna,9,50151.0,1,Petrol,Manual,17.01,1591.0,121.3,5,13.596109992928898,hyderabad
Hyundai Santro Xing,Hyundai,Santro Xing,16,120000.0,1,Lpg,Manual,13.45,1086.0,62.1,5,12.301387370778713,hyderabad
Volvo S60,Volvo,S60,14,92000.0,1,Diesel,Automatic,13.2,1949.5,180.02499999999998,5,13.955273369904273,hyderabad
Jaguar XF,Jaguar,XF,9,51000.0,1,Diesel,Automatic,19.33,1949.5,177.0,5,14.912455123421447,hyderabad
Mercedes-Benz GLE,Mercedes-Benz,GLE,8,70000.0,1,Petrol,Automatic,10.25,1949.5,180.02499999999998,5,15.754252361425857,hyderabad
Hyundai Venue,Hyundai,Venue,7,72253.0,1,Petrol,Manual,18.27,998.0,118.35,5,13.710151153416941,hyderabad
Mahindra XUV500,Mahindra,XUV500,11,51757.0,1,Diesel,Manual,16.0,1949.5,140.0,7,14.151983508870947,hyderabad
Chevrolet Beat,Chevrolet,Beat,14,46000.0,1,Petrol,Manual,18.6,1199.0,79.4,5,12.59473402514672,hyderabad
Tata Harrier,Tata,Harrier,4,24648.0,1,Diesel,Manual,16.35,1949.5,167.67,5,14.491002803285499,hyderabad
Maruti Wagon R,Maruti,Wagon R,13,61201.0,1,Petrol,Manual,20.51,998.0,67.04,5,12.631343648903034,hyderabad
Tata Harrier,Tata,Harrier,5,23000.0,1,Diesel,Manual,16.35,1949.5,167.67,5,14.51612975336292,hyderabad
Maruti Wagon R,Maruti,Wagon R,10,46563.0,2,Petrol,Manual,20.51,998.0,67.04,5,12.810391344620207,hyderabad
Hyundai i20,Hyundai,i20,10,41085.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.377007146164305,hyderabad
Ford Figo,Ford,Figo,16,90000.0,1,Diesel,Manual,20.0,1399.0,68.0,5,12.608202196848836,hyderabad
Hyundai i20,Hyundai,i20,13,50260.0,1,Petrol,Manual,18.5,1197.0,82.85,5,12.955129822091815,hyderabad
Ford Figo,Ford,Figo,16,55000.0,1,Petrol,Manual,15.6,1196.0,70.0,5,12.59473402514672,hyderabad
Maruti Celerio,Maruti,Celerio,12,107913.0,2,Petrol,Manual,25.24,998.0,65.71,5,12.700771936142122,hyderabad
Maruti Swift,Maruti,Swift,9,52858.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.244582780038517,hyderabad
